Sample Name,Study Assay Measurement,Study Assay Technology Type,Study Assay Technology Platform,organism,Source Name,Label,Array Data File Name,Array Data File Path,Comment[Array Data File Name],Hybridization Assay Name,Factor Value[Radiation Distance],Factor Value[ionizing radiation],Original Sample Name
GSM589450,transcription profiling,DNA microarray,Agilent,Homo sapiens,GSM589450 1,Cy3 dye,GLDS-367_microarray_GSM589450_S_251485054027_S03_GE1-v1_91_2_1_1.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-367/download?source=datamanager&file=GLDS-367_microarray_GSM589450_S_251485054027_S03_GE1-v1_91_2_1_1.txt.gz,GLDS-367_microarray_GSM589450_S_251485054027_S03_GE1-v1_91_2_1_1.txt.gz,GSM589450,125 - 625 micrometer,sham irradiation,GSM589450
GSM589451,transcription profiling,DNA microarray,Agilent,Homo sapiens,GSM589451 1,Cy3 dye,GLDS-367_microarray_GSM589451_S_251485054027_S03_GE1-v1_91_2_1_2.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-367/download?source=datamanager&file=GLDS-367_microarray_GSM589451_S_251485054027_S03_GE1-v1_91_2_1_2.txt.gz,GLDS-367_microarray_GSM589451_S_251485054027_S03_GE1-v1_91_2_1_2.txt.gz,GSM589451,125 - 625 micrometer,sham irradiation,GSM589451
GSM589452,transcription profiling,DNA microarray,Agilent,Homo sapiens,GSM589452 1,Cy3 dye,GLDS-367_microarray_GSM589452_S_251485054027_S03_GE1-v1_91_2_1_3.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-367/download?source=datamanager&file=GLDS-367_microarray_GSM589452_S_251485054027_S03_GE1-v1_91_2_1_3.txt.gz,GLDS-367_microarray_GSM589452_S_251485054027_S03_GE1-v1_91_2_1_3.txt.gz,GSM589452,625 - 1125 micrometer,sham irradiation,GSM589452
GSM589453,transcription profiling,DNA microarray,Agilent,Homo sapiens,GSM589453 1,Cy3 dye,GLDS-367_microarray_GSM589453_S_251485054027_S03_GE1-v1_91_2_1_4.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-367/download?source=datamanager&file=GLDS-367_microarray_GSM589453_S_251485054027_S03_GE1-v1_91_2_1_4.txt.gz,GLDS-367_microarray_GSM589453_S_251485054027_S03_GE1-v1_91_2_1_4.txt.gz,GSM589453,625 - 1125 micrometer,sham irradiation,GSM589453
GSM589454,transcription profiling,DNA microarray,Agilent,Homo sapiens,GSM589454 1,Cy3 dye,GLDS-367_microarray_GSM589454_S_251485055727_S01_GE1-v1_91_2_1_1.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-367/download?source=datamanager&file=GLDS-367_microarray_GSM589454_S_251485055727_S01_GE1-v1_91_2_1_1.txt.gz,GLDS-367_microarray_GSM589454_S_251485055727_S01_GE1-v1_91_2_1_1.txt.gz,GSM589454,125 - 625 micrometer,highly charged energetic nuclei,GSM589454
GSM589455,transcription profiling,DNA microarray,Agilent,Homo sapiens,GSM589455 1,Cy3 dye,GLDS-367_microarray_GSM589455_S_251485055727_S01_GE1-v1_91_2_1_2.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-367/download?source=datamanager&file=GLDS-367_microarray_GSM589455_S_251485055727_S01_GE1-v1_91_2_1_2.txt.gz,GLDS-367_microarray_GSM589455_S_251485055727_S01_GE1-v1_91_2_1_2.txt.gz,GSM589455,125 - 625 micrometer,highly charged energetic nuclei,GSM589455
GSM589456,transcription profiling,DNA microarray,Agilent,Homo sapiens,GSM589456 1,Cy3 dye,GLDS-367_microarray_GSM589456_S_251485055727_S01_GE1-v1_91_2_1_3.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-367/download?source=datamanager&file=GLDS-367_microarray_GSM589456_S_251485055727_S01_GE1-v1_91_2_1_3.txt.gz,GLDS-367_microarray_GSM589456_S_251485055727_S01_GE1-v1_91_2_1_3.txt.gz,GSM589456,625 - 1125 micrometer,highly charged energetic nuclei,GSM589456
GSM589457,transcription profiling,DNA microarray,Agilent,Homo sapiens,GSM589457 1,Cy3 dye,GLDS-367_microarray_GSM589457_S_251485055727_S01_GE1-v1_91_2_1_4.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-367/download?source=datamanager&file=GLDS-367_microarray_GSM589457_S_251485055727_S01_GE1-v1_91_2_1_4.txt.gz,GLDS-367_microarray_GSM589457_S_251485055727_S01_GE1-v1_91_2_1_4.txt.gz,GSM589457,625 - 1125 micrometer,highly charged energetic nuclei,GSM589457
GSM589458,transcription profiling,DNA microarray,Agilent,Homo sapiens,GSM589458 1,Cy3 dye,GLDS-367_microarray_GSM589458_S_251485055796_S01_GE1-v1_91_2_1_1.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-367/download?source=datamanager&file=GLDS-367_microarray_GSM589458_S_251485055796_S01_GE1-v1_91_2_1_1.txt.gz,GLDS-367_microarray_GSM589458_S_251485055796_S01_GE1-v1_91_2_1_1.txt.gz,GSM589458,125 - 625 micrometer,sham irradiation,GSM589458
GSM589459,transcription profiling,DNA microarray,Agilent,Homo sapiens,GSM589459 1,Cy3 dye,GLDS-367_microarray_GSM589459_S_251485055796_S01_GE1-v1_91_2_1_2.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-367/download?source=datamanager&file=GLDS-367_microarray_GSM589459_S_251485055796_S01_GE1-v1_91_2_1_2.txt.gz,GLDS-367_microarray_GSM589459_S_251485055796_S01_GE1-v1_91_2_1_2.txt.gz,GSM589459,125 - 625 micrometer,sham irradiation,GSM589459
GSM589460,transcription profiling,DNA microarray,Agilent,Homo sapiens,GSM589460 1,Cy3 dye,GLDS-367_microarray_GSM589460_S_251485055796_S01_GE1-v1_91_2_1_3.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-367/download?source=datamanager&file=GLDS-367_microarray_GSM589460_S_251485055796_S01_GE1-v1_91_2_1_3.txt.gz,GLDS-367_microarray_GSM589460_S_251485055796_S01_GE1-v1_91_2_1_3.txt.gz,GSM589460,625 - 1125 micrometer,sham irradiation,GSM589460
GSM589461,transcription profiling,DNA microarray,Agilent,Homo sapiens,GSM589461 1,Cy3 dye,GLDS-367_microarray_GSM589461_S_251485055796_S01_GE1-v1_91_2_1_4.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-367/download?source=datamanager&file=GLDS-367_microarray_GSM589461_S_251485055796_S01_GE1-v1_91_2_1_4.txt.gz,GLDS-367_microarray_GSM589461_S_251485055796_S01_GE1-v1_91_2_1_4.txt.gz,GSM589461,625 - 1125 micrometer,sham irradiation,GSM589461
GSM589462,transcription profiling,DNA microarray,Agilent,Homo sapiens,GSM589462 1,Cy3 dye,GLDS-367_microarray_GSM589462_S_251485055797_S01_GE1-v1_91_2_1_1.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-367/download?source=datamanager&file=GLDS-367_microarray_GSM589462_S_251485055797_S01_GE1-v1_91_2_1_1.txt.gz,GLDS-367_microarray_GSM589462_S_251485055797_S01_GE1-v1_91_2_1_1.txt.gz,GSM589462,125 - 625 micrometer,highly charged energetic nuclei,GSM589462
