name,species,taxon,annotations
HUMAN,Homo sapiens,9606,org.Hs.eg.db
MOUSE,Mus musculus,10090,org.Mm.eg.db
RAT,Rattus norvegicus,10116,org.Rn.eg.db
ZEBRAFISH,Danio rerio,7955,org.Dr.eg.db
FLY,Drosophila melanogaster,7227,org.Dm.eg.db
WORM,Caenorhabditis elegans,6239,org.Ce.eg.db
YEAST,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),559292,org.Sc.sgd.db
ARABIDOPSIS,Arabidopsis thaliana,3702,org.At.tair.db
ECOLI,Escherichia coli (strain K12),511145,
BACSU,Bacillus subtilis (strain 168),224308,
BRADI,Brachypodium distachyon,15368,
BRARP,Brassica rapa,3711,
ORYSJ,Oryza sativa Japonica,39947,
ORYLA,Oryzias latipes,8090,
SALTY,Salmonella enterica serovar Typhimurium str. LT2,99287,
,Lactobacillus acidophilus NCFM,272621,
,Mycobacterium marinum M,216594,
,Pseudomonas aeruginosa UCBPP-PA14,208963,
,Serratia liquefaciens ATCC 27592,1346614,
,Staphylococcus aureus MRSA252,282458,
,Streptococcus mutans UA159,210007,
,Vibrio fischeri ES114,312309,
