sample,condition
Mmus_C57-6J_Quad_CO2_C_DI_ext1_Rep1_M33,CO2_C_DI_ext1
Mmus_C57-6J_Quad_CO2_C_DI_ext2_Rep1_M31,CO2_C_DI_ext2
Mmus_C57-6J_Quad_CO2_C_DI_ext2_Rep2_M32,CO2_C_DI_ext2
Mmus_C57-6J_Quad_CO2_C_DI_ext2_Rep3_M33,CO2_C_DI_ext2
Mmus_C57-6J_Quad_CO2_C_DI_ext2_Rep4_M34,CO2_C_DI_ext2
Mmus_C57-6J_Quad_CO2_C_DI_ext2_Rep5_M35,CO2_C_DI_ext2
Mmus_C57-6J_Quad_CO2_C_DI_ext2_Rep6_M36,CO2_C_DI_ext2
Mmus_C57-6J_Quad_Euth_C_DI_ext1_Rep1_M9,Euth_C_DI_ext1
Mmus_C57-6J_Quad_Euth_C_DI_ext1_Rep2_M10,Euth_C_DI_ext1
Mmus_C57-6J_Quad_Euth_C_DI_ext1_Rep3_M11,Euth_C_DI_ext1
Mmus_C57-6J_Quad_Euth_C_DI_ext1_Rep4_M12,Euth_C_DI_ext1
Mmus_C57-6J_Quad_Euth_C_DI_ext2_Rep1_M7,Euth_C_DI_ext2
Mmus_C57-6J_Quad_Euth_C_DI_ext2_Rep2_M8,Euth_C_DI_ext2
Mmus_C57-6J_Quad_Euth_C_DI_ext2_Rep3_M9,Euth_C_DI_ext2
Mmus_C57-6J_Quad_Euth_C_DI_ext2_Rep4_M10,Euth_C_DI_ext2
Mmus_C57-6J_Quad_Euth_C_DI_ext2_Rep5_M11,Euth_C_DI_ext2
Mmus_C57-6J_Quad_Euth_C_DI_ext2_Rep6_M12,Euth_C_DI_ext2
Mmus_C57-6J_Quad_Euth_C_LN2_ext1_Rep1_M15,Euth_C_LN2_ext1
Mmus_C57-6J_Quad_Euth_C_LN2_ext1_Rep2_M16,Euth_C_LN2_ext1
Mmus_C57-6J_Quad_Euth_C_LN2_ext1_Rep3_M17,Euth_C_LN2_ext1
Mmus_C57-6J_Quad_Euth_C_LN2_ext1_Rep4_M18,Euth_C_LN2_ext1
Mmus_C57-6J_Quad_Euth_C_LN2_ext2_Rep1_M13,Euth_C_LN2_ext2
Mmus_C57-6J_Quad_Euth_C_LN2_ext2_Rep2_M14,Euth_C_LN2_ext2
Mmus_C57-6J_Quad_Euth_C_LN2_ext2_Rep3_M15,Euth_C_LN2_ext2
Mmus_C57-6J_Quad_Euth_C_LN2_ext2_Rep4_M16,Euth_C_LN2_ext2
Mmus_C57-6J_Quad_Euth_C_LN2_ext2_Rep5_M17,Euth_C_LN2_ext2
Mmus_C57-6J_Quad_Euth_C_LN2_ext2_Rep6_M18,Euth_C_LN2_ext2
Mmus_C57-6J_Quad_Euth_C_RNAlat_ext1_Rep1_M21,Euth_C_RNAlat_ext1
Mmus_C57-6J_Quad_Euth_C_RNAlat_ext1_Rep2_M22,Euth_C_RNAlat_ext1
Mmus_C57-6J_Quad_Euth_C_RNAlat_ext1_Rep3_M23,Euth_C_RNAlat_ext1
Mmus_C57-6J_Quad_Euth_C_RNAlat_ext1_Rep4_M24,Euth_C_RNAlat_ext1
Mmus_C57-6J_Quad_Euth_C_RNAlat_ext2_Rep1_M19,Euth_C_RNAlat_ext2
Mmus_C57-6J_Quad_Euth_C_RNAlat_ext2_Rep2_M20,Euth_C_RNAlat_ext2
Mmus_C57-6J_Quad_Euth_C_RNAlat_ext2_Rep3_M21,Euth_C_RNAlat_ext2
Mmus_C57-6J_Quad_Euth_C_RNAlat_ext2_Rep4_M22,Euth_C_RNAlat_ext2
Mmus_C57-6J_Quad_Euth_C_RNAlat_ext2_Rep5_M23,Euth_C_RNAlat_ext2
Mmus_C57-6J_Quad_Euth_C_RNAlat_ext2_Rep6_M24,Euth_C_RNAlat_ext2
Mmus_C57-6J_Quad_Euth_I_DI_Rep1_M1,Euth_I_DI
Mmus_C57-6J_Quad_Euth_I_DI_Rep2_M2,Euth_I_DI
Mmus_C57-6J_Quad_Euth_I_DI_Rep3_M3,Euth_I_DI
Mmus_C57-6J_Quad_Euth_I_DI_Rep4_M4,Euth_I_DI
Mmus_C57-6J_Quad_Euth_I_DI_Rep5_M5,Euth_I_DI
Mmus_C57-6J_Quad_Euth_I_DI_Rep6_M6,Euth_I_DI
Mmus_C57-6J_Quad_Euth_I_LN2_Rep1_M1,Euth_I_LN2
Mmus_C57-6J_Quad_Euth_I_LN2_Rep2_M2,Euth_I_LN2
Mmus_C57-6J_Quad_Euth_I_LN2_Rep3_M3,Euth_I_LN2
Mmus_C57-6J_Quad_Euth_I_LN2_Rep4_M4,Euth_I_LN2
Mmus_C57-6J_Quad_Euth_I_LN2_Rep5_M5,Euth_I_LN2
Mmus_C57-6J_Quad_Euth_I_LN2_Rep6_M6,Euth_I_LN2
Mmus_C57-6J_Quad_Euth_I_RNAlat_Rep1_M1,Euth_I_RNAlat
Mmus_C57-6J_Quad_Euth_I_RNAlat_Rep2_M2,Euth_I_RNAlat
Mmus_C57-6J_Quad_Euth_I_RNAlat_Rep3_M3,Euth_I_RNAlat
Mmus_C57-6J_Quad_Euth_I_RNAlat_Rep4_M4,Euth_I_RNAlat
Mmus_C57-6J_Quad_Euth_I_RNAlat_Rep5_M5,Euth_I_RNAlat
Mmus_C57-6J_Quad_Euth_I_RNAlat_Rep6_M6,Euth_I_RNAlat
Mmus_C57-6J_Quad_Ket-Xyl_C_DI_ext1_Rep1_M27,Ket-Xyl_C_DI_ext1
Mmus_C57-6J_Quad_Ket-Xyl_C_DI_ext1_Rep2_M28,Ket-Xyl_C_DI_ext1
Mmus_C57-6J_Quad_Ket-Xyl_C_DI_ext2_Rep1_M25,Ket-Xyl_C_DI_ext2
Mmus_C57-6J_Quad_Ket-Xyl_C_DI_ext2_Rep2_M26,Ket-Xyl_C_DI_ext2
Mmus_C57-6J_Quad_Ket-Xyl_C_DI_ext2_Rep3_M27,Ket-Xyl_C_DI_ext2
Mmus_C57-6J_Quad_Ket-Xyl_C_DI_ext2_Rep4_M28,Ket-Xyl_C_DI_ext2
Mmus_C57-6J_Quad_Ket-Xyl_C_DI_ext2_Rep5_M29,Ket-Xyl_C_DI_ext2
Mmus_C57-6J_Quad_Ket-Xyl_C_DI_ext2_Rep6_M30,Ket-Xyl_C_DI_ext2
